T(K),a,da/dT
313.9,0,0.00000000
315.4,0.001308259,0.00087217
316.9,0.002625097,0.00087856
319.4,0.004839122,0.00088639
321.4,0.006627553,0.00089432
323.65,0.008657192,0.00090207
326.15,0.010932846,0.00090795
328.65,0.013227828,0.00091070
332.65,0.016932399,0.00091022
335.65,0.019729142,0.00090658
338.4,0.022299275,0.00090169
341.15,0.024868453,0.00089681
344.9,0.028355636,0.00089189
347.15,0.030429526,0.00089311
349.15,0.032254623,0.00091435
350.9,0.033832675,0.00094042
353.15,0.035828352,0.00095548
354.4,0.036917815,0.00097050
354.9,0.037349386,0.00098705
355.65,0.037992154,0.00099965
355.9,0.038205206,0.00101218
356.4,0.038629578,0.00102780
357.4,0.039472155,0.00104327
359.9,0.041566966,0.00105850
361.65,0.043084398,0.00107350
363.4,0.044742059,0.00107950
365.15,0.04680756,0.00108957
367.4,0.049461176,0.00110398
369.15,0.051709206,0.00111166
370.15,0.053009372,0.00112317
371.4,0.054645472,0.00113301
373.15,0.056943786,0.00113922
373.9,0.057968033,0.00115012
374.9,0.059227697,0.00115685
375.4,0.059860353,0.00116133
376.15,0.060882748,0.00116487
376.65,0.061566141,0.00116795
376.9,0.061908044,0.00116855
377.15,0.0622499,0.00116635
377.4,0.062527039,0.00116767
377.9,0.063140165,0.00116423
378.9,0.06448793,0.00115352
379.65,0.065346347,0.00114308
381.4,0.067527279,0.00112604
382.65,0.069011088,0.00110991
383.9,0.070345196,0.00108801
385.4,0.072126433,0.00106541
387.9,0.074772331,0.00103486
389.65,0.076499276,0.00100504
391.15,0.077931566,0.00097201
392.9,0.079573555,0.00093667
395.4,0.081723132,0.00090031
397.15,0.083077784,0.00086167
398.4,0.084209689,0.00082084
399.9,0.085480817,0.00079259
401.9,0.087220443,0.00075738
403.15,0.088316018,0.00071869
404.4,0.089304138,0.00068847
405.4,0.090136408,0.00065125
406.9,0.091147044,0.00061638
407.65,0.091640513,0.00058473
408.15,0.091880432,0.00054726
408.9,0.092176468,0.00051335
409.4,0.092330273,0.00048041
409.9,0.092499386,0.00044789
410.4,0.092655623,0.00041564
410.65,0.092717342,0.00038599
411.15,0.092809129,0.00035930
411.9,0.093026072,0.00032807
412.15,0.093077369,0.00029885
412.9,0.093246699,0.00026886
413.65,0.093447786,0.00023864
414.65,0.093614623,0.00021138
415.4,0.093746583,0.00018268
416.15,0.09385856,0.00015945
417.9,0.094034938,0.00013676
418.65,0.094091133,0.00012021
419.9,0.094130575,0.00010660
421.65,0.09415126,0.00009599
422.65,0.094154409,0.00008433
423.9,0.094154409,0.00007356
425.15,0.094154409,0.00006509
426.9,0.094154409,0.00005880
427.9,0.094154409,0.00004901
429.15,0.094154409,0.00004212
430.15,0.094154409,0.00003443
431.9,0.094154409,0.00002590
432.65,0.094154409,0.00002075
433.65,0.094154409,0.00001548
434.4,0.094154409,0.00001196
435.9,0.094154409,0.00000932
436.4,0.094154409,0.00000922
437.4,0.094154409,0.00000993
437.9,0.094154409,0.00001030
438.9,0.094154474,0.00001102
439.4,0.094155186,0.00001344
439.9,0.094155759,0.00001460
440.4,0.094158363,0.00001760
441.15,0.094162449,0.00002215
441.4,0.094163128,0.00002402
441.65,0.09416833,0.00002598
442.15,0.094177117,0.00003213
442.4,0.094182858,0.00003484
442.65,0.094194666,0.00004110
443.15,0.094206857,0.00004455
443.4,0.094224819,0.00005196
443.65,0.094237848,0.00005772
443.9,0.094243496,0.00006886
444.15,0.094249529,0.00007829
444.65,0.094284519,0.00008525
444.9,0.094292967,0.00009784
445.15,0.094314687,0.00010953
445.65,0.094380718,0.00012440
445.9,0.094394248,0.00013819
446.15,0.094408515,0.00015189
446.65,0.09449758,0.00016801
447.15,0.094536915,0.00018318
447.65,0.094627615,0.00019782
447.9,0.094652662,0.00021199
448.4,0.094760121,0.00022631
449.15,0.094885368,0.00023938
449.9,0.095127585,0.00025264
450.65,0.095332799,0.00026656
451.15,0.095433776,0.00028039
451.65,0.095616968,0.00029320
452.9,0.096042085,0.00030695
453.65,0.096369489,0.00031906
454.4,0.09667355,0.00032948
455.4,0.097073482,0.00034150
456.15,0.097439791,0.00035465
457.15,0.097897171,0.00036280
457.9,0.098232868,0.00037453
459.15,0.09880563,0.00038185
460.15,0.099245232,0.00039147
460.9,0.099583427,0.00039720
461.9,0.100020046,0.00040559
462.9,0.100446428,0.00040668
463.65,0.10076533,0.00040908
464.65,0.101206719,0.00041208
465.4,0.101531069,0.00041122
466.65,0.102078653,0.00041061
467.65,0.102512866,0.00040582
468.15,0.102714212,0.00040134
469.15,0.103152749,0.00039434
470.15,0.103567145,0.00038435
470.9,0.103881363,0.00037715
471.4,0.104078115,0.00036990
472.4,0.104457296,0.00035982
473.15,0.104743146,0.00034965
473.65,0.104948384,0.00033836
474.4,0.105214241,0.00032691
475.4,0.10555733,0.00031613
475.9,0.105701829,0.00030367
476.4,0.10587263,0.00028890
477.15,0.106114369,0.00027657
477.9,0.106337478,0.00026224
478.4,0.106475354,0.00024808
478.9,0.10657371,0.00023473
479.65,0.106722867,0.00022021
480.4,0.106909234,0.00020685
480.9,0.107027862,0.00019319
481.4,0.107110917,0.00018085
482.15,0.107219238,0.00017005
482.65,0.107281084,0.00015945
483.4,0.107359404,0.00014923
483.9,0.107416284,0.00014178
484.9,0.107480219,0.00013442
485.15,0.107483487,0.00013159
485.65,0.107520895,0.00012855
486.4,0.107537724,0.00012760
487.4,0.10756133,0.00012917
487.9,0.10756914,0.00013309
488.65,0.107582305,0.00013909
489.65,0.107609272,0.00015683
490.15,0.107620683,0.00016728
490.9,0.107647263,0.00018573
491.65,0.107696776,0.00020307
492.65,0.107770694,0.00022192
493.15,0.10782773,0.00024539
493.9,0.10793158,0.00026368
494.65,0.108028644,0.00028460
495.65,0.108235602,0.00030795
496.4,0.108425776,0.00033327
497.15,0.108646897,0.00035819
498.15,0.108989913,0.00038742
498.9,0.109281938,0.00042221
