T,a,da/dT,,,,
46,0,,,,,
48.5,0.001199046,0.000479618,,,,
51,0.002410378,0.000484533,,,,
53.5,0.003633857,0.000489392,,,,
56.5,0.005117253,0.000494465,,,,
59.25,0.006490288,0.000499285,,,,
63.5,0.008633001,0.000504168,,,,
66.25,0.010029644,0.00050787,,,,
68.75,0.011303824,0.000509672,,,,
71.25,0.012580249,0.00051057,,,,
74,0.013984489,0.000510633,,,,
75.5,0.014749592,0.000510069,,,,
76.75,0.015386342,0.0005094,,,,
77.75,0.015895052,0.00050871,,,,
78.75,0.016403067,0.000508014,,,,
79.25,0.016656798,0.000507462,,,,
79.5,0.016783593,0.000507181,,,,
79.75,0.016910341,0.000506994,,,,
80.5,0.017290316,0.000506633,,,,
82.25,0.018175534,0.000505839,,,,
84.75,0.019438002,0.000504987,,,,
86.25,0.020195656,0.000505103,,,,
87.75,0.020955172,0.000506344,,,,
89.5,0.021846878,0.000509546,,,,
91.5,0.022881144,0.000517133,,,,
92.75,0.023541909,0.000528611,,,,
94,0.024219521,0.00054209,,,,
95,0.024777445,0.000557924,,,,
96.25,0.025498457,0.00057681,,,,
97,0.025949054,0.000600795,,,,
97.5,0.026268384,0.00063866,,,,
98,0.026570498,0.000604229,,,,
98.5,0.026876368,0.000611741,,,,
98.75,0.027030639,0.000617081,,,,
99,0.027191012,0.000641492,,,,
99.5,0.027511323,0.000640622,,,,
100.25,0.027980108,0.000625047,,,,
101.25,0.028616931,0.000636824,,,,
102.25,0.029257276,0.000640345,,,,
104.25,0.030553031,0.000647877,,,,
105.5,0.031367951,0.000651936,,,,
107,0.032341783,0.000649221,,,,
108.75,0.033496198,0.000659666,,,,
111.25,0.035135263,0.000655626,,,,
112.75,0.036111187,0.000650616,,,,
114.5,0.03721873,0.000632882,,,,
116,0.038151076,0.000621564,,,,
118.5,0.039641172,0.000596038,,,,
119.75,0.040371136,0.000583971,,,,
121.25,0.041198675,0.000551693,,,,
122.5,0.041939021,0.000592277,,,,
124.25,0.042937136,0.000570351,,,,
125.5,0.043661156,0.000579216,,,,
126.25,0.044053881,0.000523633,,,,
127.25,0.04460334,0.00054946,,,,
128.25,0.045154182,0.000550842,,,,
128.75,0.045395126,0.000481888,,,,
129.25,0.045649837,0.000509422,,,,
129.5,0.045752733,0.000411583,,,,
130,0.045973598,0.00044173,,,,
130.25,0.046070843,0.000388981,,,,
130.5,0.046186411,0.000462273,,,,
130.75,0.046299596,0.00045274,,,,
131,0.046391564,0.000367871,,,,
131.25,0.046501186,0.000438487,,,,
131.75,0.046696873,0.000391374,,,,
132,0.046762349,0.000261902,,,,
133,0.047088281,0.000325932,,,,
133.5,0.047242905,0.000309248,,,,
134.25,0.047440023,0.000262823,,,,
135,0.04767935,0.000319103,,,,
136.5,0.048109946,0.000287064,,,,
137.25,0.04835877,0.000331766,,,,
138.25,0.048661989,0.000303219,,,,
139.5,0.049040426,0.00030275,,,,
141,0.049393676,0.0002355,,,,
142.25,0.049702916,0.000247392,,,,
143.5,0.049992254,0.00023147,,,,
144.75,0.050286096,0.000235074,,,,
146.5,0.050558447,0.000155629,,,,
147.75,0.050793141,0.000187756,,,,
149,0.050973397,0.000144204,,,,
150.5,0.051109515,9.07E-05,,,,
151.75,0.051195539,6.88E-05,,,,
152.75,0.051268786,7.32E-05,,,,
153.5,0.051289106,2.71E-05,,,,
155.25,0.051308269,1.10E-05,,,,
156,0.051310814,3.39E-06,,,,
156.75,0.051311408,7.92E-07,,,,
157.5,0.051311408,-1.05E-15,,,,
158.5,0.051311408,6.31E-16,,,,
159.25,0.051311408,-4.16E-16,,,,
159.75,0.051311408,-3.19E-16,,,,
160.25,0.051311408,1.26E-15,,,,
161,0.051311408,-8.42E-16,,,,
161.5,0.051311408,2.53E-15,,,,
161.75,0.051311408,-3.16E-15,,,,
162.25,0.051311408,-3.19E-16,,,,
162.5,0.051311408,1.28E-15,,,,
162.75,0.051311408,-2.53E-15,,,,
163,0.051311408,3.77E-15,,,,
163.5,0.051311408,-3.05E-16,,,,
163.75,0.051311408,-2.53E-15,,,,
164.25,0.051311408,-3.19E-16,,,,
164.5,0.051311408,2.53E-15,,,,
164.75,0.051311408,-2.53E-15,,,,
165.25,0.051311408,-3.19E-16,,,,
165.5,0.051311408,2.53E-15,,,,
165.75,0.051311408,-2.53E-15,,,,
166,0.051311408,2.53E-15,,,,
166.5,0.051311408,-1.26E-15,,,,
167,0.051311408,-3.05E-16,,,,
167.5,0.051311408,6.25E-16,,,,
168,0.051311408,9.44E-16,,,,
168.5,0.051311408,9.44E-16,,,,
169,0.051311408,-3.05E-16,,,,
169.5,0.051311408,-1.58E-15,,,,
170,0.051311408,6.25E-16,,,,
171,0.051311408,-1.53E-16,,,,
171.5,0.051311408,9.44E-16,,,,
172,0.051311408,3.19E-16,,,,
