T(K),a,da/dT
320.15,0.00000000,
322.4,0.00061720,0.00027431
324.9,0.00138964,0.00031319
329.15,0.00290388,0.00035633
331.9,0.00401206,0.00039478
334.9,0.00532942,0.00043065
337.9,0.00675375,0.00046137
340.65,0.00814804,0.00048684
344.4,0.01017763,0.00050820
346.65,0.01146266,0.00052547
348.65,0.01264550,0.00054058
350.15,0.01355719,0.00055617
351.4,0.01433289,0.00057330
352.9,0.01528298,0.00059336
353.65,0.01576600,0.00061549
354.15,0.01609102,0.00063810
354.4,0.01625444,0.00066153
354.65,0.01641848,0.00068380
355.65,0.01708093,0.00070264
357.15,0.01809432,0.00071804
358.9,0.01930894,0.00073397
360.4,0.02038086,0.00075043
361.9,0.02148501,0.00076574
364.4,0.02341057,0.00077821
365.65,0.02442146,0.00078913
366.9,0.02547056,0.00079998
368.15,0.02656205,0.00080841
369.65,0.02792876,0.00081470
370.4,0.02863202,0.00081885
371.15,0.02934379,0.00082138
371.65,0.02982066,0.00082275
372.15,0.03029807,0.00082373
372.4,0.03052370,0.00082559
372.65,0.03073611,0.00082769
372.9,0.03096136,0.00082895
373.15,0.03119944,0.00082803
373.9,0.03191265,0.00082436
375.15,0.03304107,0.00081816
376.9,0.03459495,0.00080996
378.15,0.03572733,0.00079863
379.9,0.03721891,0.00078555
381.4,0.03842323,0.00077201
383.65,0.04011946,0.00075587
385.4,0.04137488,0.00073768
386.9,0.04240950,0.00071982
388.65,0.04360342,0.00070087
391.15,0.04537818,0.00068194
392.4,0.04628235,0.00066495
394.15,0.04752867,0.00065110
395.4,0.04836311,0.00063500
397.15,0.04942714,0.00061701
398.15,0.04998344,0.00059864
399.15,0.05051599,0.00058037
400.15,0.05099615,0.00056142
401.15,0.05145599,0.00054142
401.65,0.05169633,0.00052344
402.15,0.05191780,0.00050737
402.4,0.05202038,0.00049407
402.9,0.05223583,0.00047685
403.15,0.05233691,0.00045888
403.4,0.05243839,0.00044165
403.65,0.05254079,0.00042100
404.15,0.05276481,0.00039692
404.9,0.05309036,0.00037290
405.4,0.05330569,0.00035025
405.9,0.05351484,0.00032951
406.9,0.05388753,0.00031313
407.9,0.05422596,0.00029899
408.9,0.05455192,0.00028802
409.9,0.05488273,0.00028389
411.15,0.05530406,0.00027897
412.65,0.05585603,0.00027807
413.9,0.05612878,0.00028249
414.9,0.05629734,0.00028998
416.15,0.05652564,0.00030113
418.15,0.05674759,0.00031096
419.4,0.05671630,0.00032334
420.4,0.05670082,0.00033445
421.65,0.05668732,0.00034839
423.65,0.05670047,0.00036113
424.4,0.05676142,0.00037333
425.4,0.05688382,0.00038736
426.4,0.05704606,0.00040284
427.9,0.05755607,0.00041901
428.4,0.05772497,0.00043382
429.15,0.05803766,0.00045156
429.9,0.05844164,0.00046803
430.9,0.05908953,0.00048796
431.4,0.05945347,0.00051141
431.9,0.05979897,0.00053350
432.4,0.06018327,0.00055909
433.15,0.06076087,0.00058787
433.4,0.06097048,0.00061726
433.9,0.06137046,0.00064728
434.15,0.06156348,0.00067837
434.4,0.06175843,0.00070708
434.65,0.06195527,0.00073559
434.9,0.06215397,0.00076373
435.15,0.06234406,0.00078567
435.4,0.06255695,0.00081089
435.65,0.06276830,0.00083192
435.9,0.06296734,0.00085114
436.15,0.06317955,0.00086818
436.4,0.06338531,0.00088110
436.65,0.06359857,0.00089879
437.15,0.06402850,0.00091309
437.4,0.06424540,0.00093009
437.65,0.06446576,0.00094160
438.15,0.06491987,0.00095456
438.4,0.06514834,0.00096796
438.9,0.06562286,0.00098088
439.4,0.06611215,0.00099198
439.9,0.06660019,0.00100337
440.4,0.06713481,0.00101425
441.15,0.06790495,0.00102165
441.65,0.06845287,0.00102986
442.4,0.06930944,0.00104002
443.4,0.07041195,0.00104810
444.15,0.07131507,0.00106050
444.9,0.07220245,0.00107178
445.4,0.07283400,0.00108379
446.65,0.07429948,0.00109666
447.65,0.07547533,0.00110907
448.4,0.07634567,0.00112024
449.4,0.07750032,0.00113093
450.65,0.07888682,0.00114067
451.4,0.07973070,0.00114833
452.15,0.08053760,0.00115572
453.15,0.08160359,0.00115977
454.4,0.08295804,0.00116438
455.15,0.08377624,0.00116825
456.15,0.08485924,0.00117059
457.4,0.08633758,0.00117481
458.15,0.08722273,0.00117641
458.9,0.08812888,0.00117933
459.65,0.08905953,0.00118032
460.9,0.09061109,0.00118488
461.4,0.09122721,0.00118987
462.15,0.09214508,0.00119593
462.65,0.09276076,0.00120252
463.9,0.09426188,0.00121126
464.4,0.09485699,0.00121948
464.9,0.09545035,0.00122955
465.4,0.09603069,0.00123936
466.4,0.09723869,0.00124895
466.9,0.09784371,0.00125788
467.4,0.09845608,0.00126735
468.15,0.09939403,0.00127210
468.65,0.10002799,0.00127575
469.15,0.10067385,0.00127656
469.65,0.10132614,0.00127716
470.4,0.10231670,0.00127642
470.9,0.10298477,0.00127507
471.4,0.10365761,0.00127352
471.9,0.10433898,0.00127096
472.65,0.10536162,0.00126886
473.15,0.10604558,0.00126672
473.65,0.10672078,0.00126662
474.4,0.10774199,0.00126564
475.15,0.10875453,0.00126328
475.65,0.10943327,0.00126351
476.15,0.11009349,0.00126023
477.15,0.11137963,0.00125778
477.65,0.11199554,0.00125548
478.4,0.11293927,0.00125371
478.9,0.11354912,0.00125025
479.9,0.11474204,0.00124738
480.4,0.11533152,0.00124398
481.15,0.11619948,0.00123946
481.9,0.11705439,0.00123444
482.9,0.11818249,0.00122826
483.65,0.11907033,0.00122096
484.4,0.11991956,0.00121348
485.4,0.12105910,0.00120531
486.15,0.12197164,0.00119736
486.9,0.12281889,0.00118870
487.65,0.12370361,0.00118152
488.65,0.12490462,0.00117560
489.4,0.12583508,0.00117202
489.9,0.12643720,0.00116794
490.9,0.12767474,0.00116562
491.9,0.12891206,0.00116551
492.65,0.12982299,0.00116624
493.15,0.13043164,0.00116847
494.4,0.13191213,0.00117241
495.15,0.13277931,0.00118003
495.9,0.13362928,0.00118425
496.4,0.13419167,0.00119532
497.4,0.13531122,0.00120461
498.4,0.13641732,0.00121266
498.9,0.13697357,0.00122697
499.4,0.13753070,0.00123973
500.65,0.13894067,0.00125323
501.15,0.13951065,0.00126643
501.9,0.14037500,0.00128128
502.9,0.14156480,0.00129545
503.4,0.14216486,0.00130991
504.15,0.14308142,0.00132658
504.9,0.14402195,0.00134194
505.65,0.14503374,0.00135678
506.4,0.14601334,0.00137445
506.9,0.14673996,0.00139062
507.65,0.14779667,0.00140644
508.65,0.14924685,0.00142185
509.15,0.15001921,0.00143729
509.9,0.15118147,0.00145245
510.9,0.15277416,0.00146767
511.4,0.15358587,0.00148277
512.15,0.15481191,0.00149797
512.65,0.15563612,0.00151332
513.65,0.15729299,0.00152855
