T(K),a,da/dT
318.4,0,-0.000140855
319.9,0.000383122,0.00019125
321.4,0.000777142,0.000376693
323.15,0.001249438,0.000453897
326.15,0.002081239,0.000454683
328.4,0.002709388,0.000404972
330.9,0.003389187,0.000325434
333.65,0.004077309,0.000232113
336.65,0.004693119,0.00013702
341.15,0.006447509,4.87E-05
343.9,0.00864237,-2.73E-05
346.9,0.009719226,-8.79E-05
349.4,0.009379797,-0.000132066
352.65,0.006932735,-0.000160248
354.65,0.005445047,-0.000174244
356.4,0.004366212,-0.000176683
357.65,0.003592248,-0.000170748
358.9,0.003061128,-0.000159898
359.65,0.002951962,-0.000147617
360.15,0.003015626,-0.000137205
360.4,0.003102775,-0.000131593
360.15,0.003015626,-0.000118902
359.9,0.002967334,-0.000108401
359.15,0.003002131,-0.000109239
358.9,0.003061128,-0.000118389
358.65,0.003138846,-0.000154225
358.15,0.003340553,-0.000214336
357.65,0.003592248,-0.000290621
357.4,0.003733396,-0.000385862
356.9,0.00403883,-0.000503341
356.4,0.004366212,-0.000614715
356.15,0.004535403,-0.000677648
355.65,0.004657396,-0.000719482
355.4,0.004853904,-0.000736333
355.15,0.005051201,-0.000752337
354.65,0.005445047,-0.000771539
354.15,0.005832346,-0.000749071
353.9,0.005969854,-0.000720818
353.65,0.006130859,-0.000703196
353.15,0.006536227,-0.000697084
352.9,0.006738557,-0.000691267
352.65,0.006932735,-0.000694447
352.4,0.007117984,-0.000716416
352.15,0.007293861,-0.000747672
351.9,0.00751495,-0.000773359
351.65,0.007716272,-0.000777717
351.4,0.007877884,-0.000773654
351.15,0.008026117,-0.000759995
350.9,0.008160206,-0.000741543
350.65,0.008280041,-0.000711585
350.4,0.008448283,-0.000721147
350.15,0.008679442,-0.000696071
349.9,0.008913669,-0.00060511
349.65,0.00914802,-0.000488207
349.4,0.009379797,-0.000436437
349.15,0.009443325,-0.000426502
349.4,0.009379797,-0.000452221
349.15,0.009443325,-0.000515202
